2026-07-10 09:26:31,274 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,275 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4343.21), 'lot': np.float64(0.05), 'stop_loss': np.float64(4333.3), 'take_profit': np.float64(4363.02), 'risk_percent': 1}
2026-07-10 09:26:31,275 | INFO | ORDER OPENED {'ticket': 'JQE-000019', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4343.26), 'lot': np.float64(0.05), 'stop_loss': np.float64(4333.3), 'take_profit': np.float64(4363.02), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 275088), 'status': 'OPEN'}
2026-07-10 09:26:31,275 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,275 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,275 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4343.74), 'lot': np.float64(0.05), 'stop_loss': np.float64(4333.81), 'take_profit': np.float64(4363.61), 'risk_percent': 1}
2026-07-10 09:26:31,275 | INFO | ORDER OPENED {'ticket': 'JQE-000020', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4343.79), 'lot': np.float64(0.05), 'stop_loss': np.float64(4333.81), 'take_profit': np.float64(4363.61), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 275942), 'status': 'OPEN'}
2026-07-10 09:26:31,276 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,276 | INFO | Market not suitable for trading
2026-07-10 09:26:31,277 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,277 | INFO | Market not suitable for trading
2026-07-10 09:26:31,277 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,277 | INFO | Market not suitable for trading
2026-07-10 09:26:31,278 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,278 | INFO | Market not suitable for trading
2026-07-10 09:26:31,278 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,278 | INFO | Market not suitable for trading
2026-07-10 09:26:31,279 | INFO | Market regime detected: NO_TRADE
